"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa22501-RA",14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36
"Mcavernosa22502-RA",384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
"Mcavernosa22508-RA",243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
"Mcavernosa22509-RA",171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
"Mcavernosa22512-RA",10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634,10.634
"Mcavernosa22520-RA",1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278
"Mcavernosa22522-RA",384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
"Mcavernosa22523-RA",537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
"Mcavernosa22524-RA",2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067
"Mcavernosa22525-RA",612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
"Mcavernosa22526-RA",1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319
"Mcavernosa22527-RA",614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614
"Mcavernosa22528-RA",970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970
"Mcavernosa22531-RA",1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745
"Mcavernosa22532-RA",2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262
"Mcavernosa22533-RA",35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644,35.644
"Mcavernosa22534-RA",1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212
"Mcavernosa22536-RA",267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
"Mcavernosa22537-RA",5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174,5174
"Mcavernosa22538-RA",1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598
"Mcavernosa22539-RA",585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585,585
"Mcavernosa22540-RA",652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652
"Mcavernosa22541-RA",900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
"Mcavernosa22542-RA",3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404,3404
"Mcavernosa22543-RA",669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669
"Mcavernosa22544-RA",591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
"Mcavernosa22546-RA",240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
"Mcavernosa22547-RA",2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548,2548
"Mcavernosa22548-RA",182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
"Mcavernosa22549-RA",1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
"Mcavernosa22550-RA",2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277,2277
"Mcavernosa22551-RA",2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647,2647
"Mcavernosa22553-RA",879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879
"Mcavernosa22554-RA",421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421
"Mcavernosa22604-RA",1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814
"Mcavernosa22605-RA",327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
"Mcavernosa22606-RA",3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903,3903
"Mcavernosa22607-RA",1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036
"Mcavernosa22608-RA",471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
"Mcavernosa22611-RA",467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467
"Mcavernosa22613-RA",168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
"Mcavernosa22614-RA",2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449
"Mcavernosa22615-RA",352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352
"Mcavernosa22616-RA",267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
"Mcavernosa22617-RA",843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843
"Mcavernosa22618-RA",183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
"Mcavernosa22619-RA",606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
"Mcavernosa22620-RA",738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738
"Mcavernosa22621-RA",801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801
"Mcavernosa22622-RA",3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401,3401
"Mcavernosa22624-RA",823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823
"Mcavernosa22626-RA",123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
"Mcavernosa22627-RA",577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577
"Mcavernosa22628-RA",1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
"Mcavernosa22630-RA",22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585
"Mcavernosa22631-RA",599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599
"Mcavernosa22632-RA",2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921
"Mcavernosa22633-RA",631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631
"Mcavernosa22634-RA",288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288
"Mcavernosa22635-RA",49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689,49.689
"Mcavernosa22636-RA",1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
"Mcavernosa22637-RA",558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558
"Mcavernosa22638-RA",1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
"Mcavernosa22639-RA",1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081
"Mcavernosa22641-RA",5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748,5748
"Mcavernosa22642-RA",1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952
"Mcavernosa22643-RA",749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749
"Mcavernosa22644-RA",282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282
"Mcavernosa22647-RA",303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
"Mcavernosa22648-RA",19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23
"Mcavernosa22649-RA",1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527
"Mcavernosa22650-RA",2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447
"Mcavernosa22654-RA",1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774
"Mcavernosa22656-RA",171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
"Mcavernosa22657-RA",126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
"Mcavernosa22658-RA",714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714
"Mcavernosa22659-RA",243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
"Mcavernosa22660-RA",307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307
"Mcavernosa22661-RA",2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042,2042
"Mcavernosa22662-RA",1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518
"Mcavernosa22663-RA",252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
"Mcavernosa22666-RA",1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194
"Mcavernosa22671-RA",237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
"Mcavernosa22672-RA",1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769
"Mcavernosa22673-RA",696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696,696
"Mcavernosa22674-RA",600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
"Mcavernosa22675-RA",1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758
"Mcavernosa22676-RA",583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583
"Mcavernosa22677-RA",303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
"Mcavernosa22678-RA",927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927
"Mcavernosa22680-RA",2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593,2593
"Mcavernosa22683-RA",2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176
"Mcavernosa22684-RA",1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263
"Mcavernosa22685-RA",1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303
"Mcavernosa22688-RA",3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818,3818
"Mcavernosa22692-RA",4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944,4944
"Mcavernosa22693-RA",5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341
"Mcavernosa22696-RA",198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"Mcavernosa22697-RA",468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
"Mcavernosa22701-RA",606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
"Mcavernosa22702-RA",2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174,2174
"Mcavernosa22707-RA",2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076
"Mcavernosa22713-RA",37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744
"Mcavernosa22716-RA",297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
"Mcavernosa22717-RA",11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181,11.181
"Mcavernosa22718-RA",1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
"Mcavernosa22719-RA",189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
"Mcavernosa22720-RA",99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004,99.004
"Mcavernosa22721-RA",1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
"Mcavernosa22722-RA",2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313
"Mcavernosa22723-RA",1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856
"Mcavernosa22726-RA",1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461
"Mcavernosa22727-RA",915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915,915
"Mcavernosa22728-RA",204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
"Mcavernosa22729-RA",1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518
"Mcavernosa22730-RA",1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
"Mcavernosa22731-RA",17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366,17.366
"Mcavernosa22732-RA",748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748
"Mcavernosa22733-RA",1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314
"Mcavernosa22734-RA",1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095
"Mcavernosa22735-RA",1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
"Mcavernosa22736-RA",4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209,4209
"Mcavernosa22739-RA",722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722
"Mcavernosa22762-RA",2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936
"Mcavernosa22764-RA",1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282
"Mcavernosa22765-RA",2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113
"Mcavernosa22766-RA",513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
"Mcavernosa22767-RA",2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111
"Mcavernosa22768-RA",5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853,5853
"Mcavernosa22769-RA",2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
"Mcavernosa22770-RA",1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779
"Mcavernosa22771-RA",826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826
"Mcavernosa22772-RA",1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772
"Mcavernosa22773-RA",978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978,978
"Mcavernosa22774-RA",642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
"Mcavernosa22775-RA",358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
"Mcavernosa22776-RA",1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526
"Mcavernosa22777-RA",3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820,3820
"Mcavernosa22778-RA",2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181,2181
